Rank,Method,AUC,Accuracy
1,Exp1: Fixed k-NN Hyperedge Generation,0.9632051282051282,0.965625
2,Complete Model (Baseline),0.9358974358974359,0.96875
3,Exp2: Simple Graph Convolution,0.9357051282051281,0.965625
4,Exp4a: Similarity Prior Only,0.8898076923076923,0.903125
5,Exp3: No Spectral Pruning Regularization,0.7801923076923077,0.84375
6,Exp4b: Attention Scoring Only,0.5648076923076922,0.615625
