Rank,Method,AUC,Accuracy
1,Complete Model (Baseline),0.9656410256410257,0.98125
2,Exp2: Simple Graph Convolution,0.9319871794871795,0.95625
3,Exp3: No Spectral Pruning Regularization,0.9182692307692306,0.965625
4,Exp1: Fixed k-NN Hyperedge Generation,0.8738461538461538,0.9375
5,Exp4a: Similarity Prior Only,0.8157051282051281,0.8875
6,Exp4b: Attention Scoring Only,0.7451923076923077,0.871875
