Rank,Method,AUC,Accuracy
1,Exp3: No Spectral Pruning Regularization,0.9453846153846153,0.971875
2,Exp2: Simple Graph Convolution,0.9107051282051283,0.959375
3,Exp1: Fixed k-NN Hyperedge Generation,0.9069871794871794,0.928125
4,Complete Model (Baseline),0.9003205128205128,0.940625
5,Exp4b: Attention Scoring Only,0.8634615384615384,0.94375
6,Exp4a: Similarity Prior Only,0.8181410256410256,0.84375
